record_id,next_lesson_attended,m1_retained
32fa78eb-24ab-404c-945c-ef37167782b9,1,1
efa021e8-c740-4e32-96e3-ab0bafc203b4,0,0
31ba0b5c-d2bb-4e1d-9765-8cf3f8793bfb,1,1
514c1fb9-dd41-4366-b028-5f9c0efb7b7d,1,1
7f9e3460-31fd-4208-bb1b-f5613251103e,1,1
2e882170-9303-4003-bbb4-9dddf7e8df19,0,0
8b142464-f9d3-46d0-a308-7f143333d564,1,0
a353619f-a932-4880-85db-b9a2dcf1adb3,1,0
73bc30d4-b395-4be9-925b-b2ae366128cc,1,1
5555b82c-29d9-4b5d-ac88-2eb5b47f553c,1,1
820932e5-b7a2-41e6-bc0e-0ce21b38f041,1,1
ad9f627b-91da-49ea-9984-3eb13afc39de,1,1
bf345036-78b2-4cba-b610-9b022634a870,1,1
6f6ce7f4-94ee-4e56-b804-df85126cb965,0,1
5683e633-6750-476f-b82b-1abe1e7cd7b9,1,0
617468f4-f65d-4e6c-9363-2291f96ff205,1,1
845b82ad-ab21-48aa-9631-6f56b8ccadf9,0,1
3ffeca80-c7c1-4308-865a-fdb68ac2bfd5,1,0
76479407-4de8-489c-9e7c-52a20f29f682,1,1
09778d5b-69db-42d8-92a5-d4803e11b9ac,0,1
cd697a0c-0a31-4c89-884f-5224cd36cc0b,1,0
ed94af67-4895-4af7-abe4-05a5c931ddc4,1,1
84ac76e9-48f4-4a76-8468-b0a1766a7685,1,0
847e63de-76cc-4749-b39a-c874f255e674,0,0
1ba75d95-3cec-489d-a09d-ef55c5d6afe7,1,1
ef34a392-7682-40d2-9f32-5c790e536cf0,1,1
32bbb69a-2401-4e38-b27c-cf3df6aaa669,1,1
ac0164f5-e717-46bc-8aa2-ef1651bf9df0,1,0
e980cc4c-e53d-4786-8f51-095dba7a0f2a,1,1
bae869b1-9f44-4077-8ca6-4816698587cd,1,1
64e8273e-1bd3-4676-b085-5d064f3c22f4,1,1
8d2cf517-ba02-4f1c-96c3-028d4ac028de,1,0
7d1097ed-3f9f-40c7-b16f-b4c6e1d41229,0,1
3c610d7a-efc3-418d-affa-76c5ad992f0c,1,1
acf6a399-790d-44c0-8e0b-06348c4624f4,1,1
3c9da878-2975-4edb-9763-e65ed0ea7f0c,1,1
97af4377-5fd3-478e-8a61-b30eb9f64d21,1,1
945865f1-fa8e-4881-970b-bdf28f1d5eea,0,0
2fce784f-7843-431b-94bb-807067d10157,0,1
5664e1a5-31c2-4163-931b-82b651f35ebd,1,0
0660af49-56d7-48e6-9fb0-40dcfaf93e51,1,1
6031b791-2dfb-4516-ad11-ebb29c18916c,1,1
80d2e023-85df-4094-b5b4-77763c8dbf25,0,1
d051f5c1-b609-421e-8ef7-ec966426b81a,1,0
0217d3bc-21b1-4ec9-964c-a140ebb3c370,0,1
915b8215-10f7-4fec-841b-624397080c8a,1,0
73f98fa2-af1f-439a-b844-fc2f5c3de2d1,1,1
d3a33f74-ca0c-44cd-99a8-1601aabfa089,1,1
bd7e8384-9c03-4ed7-b166-df4b92d8b6f2,1,1
